problem,funnel_stage,customer_impact,business_impact,prototype_feature_fix,feature_customer_impact,feature_business_impact,industry_benchmark_impact,priority_order
""No saved lists functionality"",Consideration,""Cannot plan menus"",""Lower loyalty"",""Saved lists / quick reorder lists"",""Store favorite assortments"",""+10% repeat"",""B2B marketplaces see +15% retention with lists"",25
""Recently viewed not persistent"",Consideration,""Data lost on logout"",""Shorter journeys"",""LocalStorage + account sync"",""Continuity across sessions"",""+4% conversion"",""Persisted history boosts conversion 3-5%"",26
""No educational content or recipe library"",Awareness,""No inspiration"",""Fewer category entries"",""Recipe library (prototype feature)"",""Menu planning help"",""+24% content-to-cart"",""Content commerce lifts revenue 20-30%"",27
""No subcategory descriptions"",Consideration,""Doesn't know differences"",""Lower mix shift"",""SEO content blocks per subcategory"",""Understands usage"",""+7% subcategory conversion"",""Content clarity lifts CVR 5-8%"",28
""No seasonal content strategy"",Consideration,""No timely offers"",""Missed seasonal spikes"",""Seasonal landing pages"",""Relevant menus"",""+9% seasonal revenue"",""NRF: seasonal campaigns drive +10% sales"",29
""Missing guided selling tools"",Consideration,""Unsure which cut/how much"",""Abandoned purchases"",""Guided selling + portion calculator"",""Calculates quantity"",""+16% CVR"",""Gartner: guided selling boosts CVR 15%"",30
""No butchery guides or technique videos"",Consideration,""Knowledge gap"",""Lower premium uptake"",""Cut guide content library"",""Education"",""+6% premium mix"",""Educational content lifts premium sales 5-7%"",31
""Limited promotional mechanics"",Awareness,""Only basic discounts"",""Low engagement"",""Promo engine (bundles, loyalty boosts)"",""Appealing offers"",""+8% campaign ROI"",""Personalized promos add 10% revenue"",32
""No best seller badges or social proof"",Consideration,""Unsure what to pick"",""Decision friction"",""Best seller + review badges"",""Confidence"",""+9% CVR"",""Spiegel: social proof lifts conversions 12%"",33
""No new product highlights"",Consideration,""Misses innovations"",""Slow adoption"",""New-in carousel"",""Discover latest SKUs"",""+5% new product sales"",""Merch highlights speed adoption 4-6%"",34
""No re-order reminders"",Retention,""Must remember manually"",""Longer reorder cycles"",""Automated reorder reminders"",""Timely alerts"",""+11% reorder rate"",""Reorder nudges lift repeat 10-15%"",35
""No subscription options"",Retention,""Cannot automate staples"",""Volatile demand"",""Standing orders / subscriptions"",""Predictable supply"",""+18% recurring revenue"",""Subscribe & save lifts LTV 20%"",36
""No accelerated loyalty points for fresh meat"",Retention,""No incentive to shift spend"",""Slow category growth"",""Category bonus multipliers"",""Earn rewards faster"",""+9% category share"",""Targeted loyalty boosts category 8-10%"",37
""No post-purchase engagement"",Retention,""No tips or follow-up"",""No re-engagement"",""Post-purchase journeys (tips, recipes)"",""Value after delivery"",""+7% repeat"",""Post-purchase emails drive +5-10% repeat"",38
